cohort_definition_id,sex,age_Min,prior_observation_Min,future_observation_Min,age_Mean,prior_observation_Mean,future_observation_Mean,age_Median,prior_observation_Median,future_observation_Median,age_Max,prior_observation_Max,future_observation_Max,age_Sd,prior_observation_Sd,future_observation_Sd,cdm_name
1,Female,0,1,0,41.179009357857375,4323.538157470151,601.926347208777,41,4437,609,102,12038,1238,18.85174912835571,2793.316023881656,242.97519229459024,CPRD GOLD
1,Male,0,1,0,36.84332509270705,3916.8640296662547,566.2161619283065,37,3591,583,97,12053,1160,22.242781474335377,2731.80917211622,245.86935211154696,CPRD GOLD
2,Female,5,0,0,53.635305407209614,5129.034087116155,557.3820927903872,55,6169,589,108,12416,926,20.71196687952103,2794.0316609814,242.2898557808479,CPRD GOLD
2,Male,5,0,0,53.038010061486865,5044.853596049935,557.1131451462642,55,6031,588,99,12651,1100,20.277973453436946,2767.59751014226,235.3388280936629,CPRD GOLD
3,Female,17,0,0,58.905864661654135,5312.018947368421,700.253984962406,58,6272,767,108,11920,888,16.173898336775878,2672.326003813745,198.77936128850646,CPRD GOLD
3,Male,17,1,0,57.809467103304556,5101.681452813337,696.9001190830604,57,6103,761,99,11952,1100,14.977677389798732,2665.8462109789625,199.4188437408355,CPRD GOLD
4,Female,0,10,0,37.71376146788991,4407.91498470948,535.2305810397554,36,4556,528,106,11746,1169,19.788632797257197,2703.3129247998213,215.771406634477,CPRD GOLD
4,Male,0,6,3,37.377682403433475,4409.721745350501,538.5736766809728,37,4504.5,533,96,12053,1253,20.98256739183482,2732.870212478566,212.0251263309017,CPRD GOLD
5,Female,0,10,1,36.8988684582744,4304.488684582744,534.6541725601131,35,4376,528,96,11746,1169,19.129286695430157,2699.038831737933,215.5320083689456,CPRD GOLD
5,Male,0,6,3,36.23070539419087,4328.615767634855,538.4448132780083,36,4278,533,96,12053,1160,20.47946593137213,2734.3270934066913,212.72002402531686,CPRD GOLD
6,Female,0,0,0,65.01803290164509,3138.0392439621983,2457.1039691984597,69,2842,2079,105,12075,11535,18.745175892862402,2203.7819450483557,1806.5761321836162,CPRD GOLD
6,Male,0,0,0,64.69721424023952,3185.243302303973,2441.5707280141783,69,2911,2075,102,12076,11811,17.807599138688015,2181.154520450848,1785.0948007212837,CPRD GOLD
7,Female,40,543,286,65.5,2469.5,606.5,67.5,1209,675,87,6917,790,22.24859546128699,3014.9619676982106,226.9280355825021,CPRD GOLD
7,Male,19,1589,51,47,5778.25,588.5,49.5,6365.5,740,70,8793,823,24.124676163629637,3027.6157148268776,360.4631280265246,CPRD GOLD
8,Female,17,1,2,57.06340269277846,5239.918482252142,383.12705018359856,58,6415,398,103,12390,791,19.934384153332093,2879.8056167505506,171.39430018636796,CPRD GOLD
8,Male,12,4,2,56.242440751838735,5113.993189866522,402.7131571778807,57,6237,432,98,12432,794,19.573826068416942,2863.163425248571,173.56965084174857,CPRD GOLD
9,Female,5,0,1,49.93174087232595,5002.794466701943,539.3555068410311,51,5997,577,106,12416,926,22.1735385553569,2820.5467079615587,239.6767672420898,CPRD GOLD
9,Male,5,0,0,49.0839577502934,4986.793716710301,523.5652252414914,50,5914,566,98,12651,916,22.385090222991316,2794.639854112995,228.73880432391843,CPRD GOLD
10,Female,0,0,0,4.601716304896517,624.4248135060856,2524.6999831734815,0,94,1959,89,11552,12077,10.364548801458357,1271.5053265338686,2111.1006736554255,CPRD GOLD
10,Male,0,0,0,1.2866813134611959,334.69045781129387,2670.454842349029,0,84,2129,80,9920,11451,4.421550970202955,580.3277102363844,2200.682205442936,CPRD GOLD
